product_id,category_id,category_name,page,url_key
261982682,8322,Nhà Sách Tiki,2,cuoc-cach-mang-glucose-p261982682
247446852,8322,Nhà Sách Tiki,2,suc-hut-cua-su-diem-tinh-p247446852
229714486,8322,Nhà Sách Tiki,2,giai-tri-den-chet-p229714486
220665663,8322,Nhà Sách Tiki,2,30-tuoi-moi-thu-chi-moi-bat-dau-p220665663
204000450,8322,Nhà Sách Tiki,2,combo-sach-giao-trinh-chuan-hsk-1-sach-bai-hoc-va-bai-tap-bo-2-cuon-p204000450
195545304,8322,Nhà Sách Tiki,2,kheo-an-noi-se-co-duoc-thien-ha-p195545304
190335975,8322,Nhà Sách Tiki,2,combo-2-cuon-truyen-danh-cho-thieu-nhi-tuoi-tho-du-doi-tap-1-2-tai-ban-p190335975
187827003,8322,Nhà Sách Tiki,2,khong-diet-khong-sinh-dung-so-hai-tb5-p187827003
184419723,8322,Nhà Sách Tiki,2,sapiens-luoc-su-loai-nguoi-tai-ban-2022-p184419723
177487151,8322,Nhà Sách Tiki,2,neu-biet-tram-nam-la-huu-han-p177487151
168662171,8322,Nhà Sách Tiki,2,vua-nham-mat-vua-mo-cua-so-p168662171
145288029,8322,Nhà Sách Tiki,2,xu-cat-p145288029
107802188,8322,Nhà Sách Tiki,2,bi-mat-tu-duy-trieu-phu-tai-ban-p107802188
85923342,8322,Nhà Sách Tiki,2,minh-triet-trong-an-uong-cua-phuong-dong-tai-ban-p85923342
75996801,8322,Nhà Sách Tiki,2,charlie-va-nha-may-so-co-la-tai-ban-2021-p75996801
55319105,8322,Nhà Sách Tiki,2,nhung-quy-luat-cua-ban-chat-con-nguoi-p55319105
52789367,8322,Nhà Sách Tiki,2,nha-gia-kim-tai-ban-2020-p52789367
50322710,8322,Nhà Sách Tiki,2,48-nguyen-tac-chu-chot-cua-quyen-luc-tai-ban-2020-p50322710
10005245,8322,Nhà Sách Tiki,2,dan-ong-sao-hoa-dan-ba-sao-kim-p10005245
4780917,8322,Nhà Sách Tiki,2,nguoi-dua-dieu-tai-ban-2018-p4780917
278165395,8322,Nhà Sách Tiki,3,the-gioi-otome-game-that-khac-nghiet-voi-nhan-vat-quan-chung-tap-13-tap-cuoi-p278165395
278160053,8322,Nhà Sách Tiki,3,dau-an-hoang-gia-tap-26-tang-kem-postcard-p278160053
278089762,8322,Nhà Sách Tiki,3,dai-dia-chan-kinh-te-p278089762
278035545,8322,Nhà Sách Tiki,3,tu-duy-dau-tu-tien-de-ra-tien-p278035545
278011249,8322,Nhà Sách Tiki,3,hoi-uc-den-tu-tuong-lai-suy-ngam-ve-van-hoa-giao-duc-va-con-duong-phat-trien-cua-viet-nam-p278011249
277997247,8322,Nhà Sách Tiki,3,ba-dua-tre-va-nguoi-thu-thu-tot-bung-p277997247
277938216,8322,Nhà Sách Tiki,3,song-cuoc-doi-giau-co-nhat-cua-ban-robin-sharma-p277938216
277361862,8322,Nhà Sách Tiki,3,ky-thuat-dat-cau-lenh-cho-chatgpt-p277361862
276922095,8322,Nhà Sách Tiki,3,the-he-lo-au-p276922095
276833162,8322,Nhà Sách Tiki,3,chuyen-con-meo-day-hai-au-bay-p276833162
276641698,8322,Nhà Sách Tiki,3,tiem-sach-cua-nang-nguyen-nhat-anh-p276641698
276436427,8322,Nhà Sách Tiki,3,combo-tam-ly-hoc-ve-tien-same-as-ever-p276436427
276019606,8322,Nhà Sách Tiki,3,khong-gia-dinh-tai-ban-p276019606
275264393,8322,Nhà Sách Tiki,3,chia-se-tu-trai-tim-p275264393
274844704,8322,Nhà Sách Tiki,3,trong-dau-co-giau-con-voi-p274844704
274466425,8322,Nhà Sách Tiki,3,cuu-tinh-xu-cat-dune-phan-2-p274466425
